datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
2007-01-01 00:00:00,2.55,0.11,241.36,10.53,0.0,0.58,0.0
2007-01-01 01:00:00,2.52,0.07,241.1,10.44,0.0,0.0,0.0
2007-01-01 02:00:00,2.58,0.11,243.2,10.54,0.0,0.33,0.0
2007-01-01 03:00:00,2.54,0.09,243.27,10.4,0.0,0.27,0.0
2007-01-01 04:00:00,2.48,0.09,242.46,10.11,0.0,0.0,0.0
2007-01-01 05:00:00,2.48,0.1,242.35,10.15,0.0,0.58,0.0
2007-01-01 06:00:00,2.46,0.09,241.22,10.1,0.0,0.0,0.0
2007-01-01 07:00:00,2.45,0.11,240.31,10.12,0.0,0.55,0.0
2007-01-01 08:00:00,2.44,0.08,241.14,10.05,0.0,0.05,0.0
2007-01-01 09:00:00,3.15,0.07,239.78,13.05,0.0,0.0,12.03
2007-01-01 10:00:00,2.66,0.11,238.43,11.1,0.0,0.58,2.48
2007-01-01 11:00:00,2.58,0.07,237.32,10.79,0.0,0.0,0.0
2007-01-01 12:00:00,2.62,0.12,237.76,10.94,0.0,0.57,0.0
2007-01-01 13:00:00,2.16,0.07,238.67,9.04,0.0,0.0,0.0
2007-01-01 14:00:00,1.29,0.24,240.66,5.61,0.0,0.23,9.05
2007-01-01 15:00:00,1.91,0.11,238.92,7.93,0.0,0.35,17.48
2007-01-01 16:00:00,1.39,0.11,239.39,5.75,0.0,0.0,17.55
2007-01-01 17:00:00,1.63,0.13,237.48,6.83,0.0,0.58,17.28
2007-01-01 18:00:00,1.46,0.07,238.34,6.04,0.0,0.0,17.4
2007-01-01 19:00:00,0.73,0.13,237.76,3.09,0.0,0.47,4.72
2007-01-01 20:00:00,0.41,0.07,237.83,1.72,0.0,0.12,0.0
2007-01-01 21:00:00,0.43,0.1,239.42,1.83,0.0,0.0,0.0
2007-01-01 22:00:00,0.44,0.11,241.12,1.91,0.0,0.6,0.0
2007-01-01 23:00:00,0.45,0.11,243.83,1.94,0.0,0.0,0.0
2007-01-02 00:00:00,0.45,0.12,242.26,1.96,0.0,0.58,0.0
2007-01-02 01:00:00,0.44,0.1,243.27,1.88,0.0,0.0,0.0
2007-01-02 02:00:00,0.43,0.09,245.75,1.83,0.0,0.0,0.0
2007-01-02 03:00:00,0.46,0.14,245.74,2.02,0.0,0.58,0.0
2007-01-02 04:00:00,1.04,0.09,243.61,4.29,0.0,0.0,9.98
2007-01-02 05:00:00,0.71,0.12,242.44,3.03,0.0,0.57,4.45
2007-01-02 06:00:00,0.45,0.11,243.93,1.9,0.0,0.0,0.0
2007-01-02 07:00:00,0.41,0.06,240.89,1.75,0.0,0.03,0.0
2007-01-02 08:00:00,0.45,0.13,239.95,1.94,0.0,0.53,0.0
2007-01-02 09:00:00,0.42,0.08,239.81,1.73,0.0,0.0,0.0
2007-01-02 10:00:00,0.45,0.13,238.78,1.89,0.0,0.58,0.0
2007-01-02 11:00:00,0.43,0.1,242.05,1.81,0.0,0.0,0.0
2007-01-02 12:00:00,0.43,0.08,242.01,1.8,0.0,0.07,0.0
2007-01-02 13:00:00,0.46,0.14,242.47,1.98,0.0,0.5,0.0
2007-01-02 14:00:00,0.44,0.11,246.38,1.86,0.0,0.0,0.0
